Subgrupo7_Desc,Subgrupo5_Desc,Subgrupo4_Desc,Subgrupo3_Desc,Grupo_Desc
H05BA01,H05BA - Preparados con calcitonina                ,H05B - AGENTES ANTIPARATIROIDEOS                  ,H05 - HOMEOSTASIS DEL CALCIO                      ,"H - PREPARADOS HORMONALES SISTÉMICOS, EXCLUYENDO H"
N06AA17,N06AA - Inhibidores no selectivos de la recaptació,N06A - ANTIDEPRESIVOS                             ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
J01DF01,J01DF - Monobactámicos                            ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
C03CA01,"C03CA - Sulfonamidas, monofármacos                ",C03C - DIURÉTICOS DE TECHO ALTO                   ,C03 - DIURÉTICOS                                  ,C - SISTEMA CARDIOVASCULAR                        
A03DB04,A03DB - Belladona y derivados en combinación con a,A03D - ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉS,A03 - AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL,A - TRACTO ALIMENTARIO Y METABOLISMO              
J01CA04,J01CA - Penicilinas con espectro ampliado         ,"J01C - ANTIBACTERIANOS BETALACTÁMICOS, PENICILINAS",J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
23B03,23B03 - APOSITOS COLECT B RECOGIDA ORINA          ,23B0 - COLECTOR BOLSAS RECOGIDA ORINA             ,23B - COLECTORES                                  ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
C05A2,C05A2 - ANTIHEMORROIDALES LOCALES SIN CORTICOSTERI,C05A - ANTIHEMORROIDALES DE USO TÓPICO            ,C05 - VASOPROTECTORES                             ,C - SISTEMA CARDIOVASCULAR                        
M01AB11,M01AB - Derivados del ácido acético y sustancias r,M01A - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTIC,M01 - PRODUCTOS ANTIINFLAMATORIOS  Y ANTIRREUMÁTIC,M - SISTEMA MUSCULOESQUELÉTICO                    
06F00,06F00 - SONDA VESICAL LÁTEX                       ,06F0 - SONDA VESICAL                              ,06F - SONDA VESICAL                               ,0 - MATERIAL DE CURA Y SONDAS                     
D11AF,D11AF - Preparados anti-verrugas y callicidas     ,D11A - OTROS PREPARADOS DERMATOLÓGICOS            ,D11 - OTROS PREPARADOS DERMATOLÓGICOS             ,D - DERMATOLOGICOS                                
J01C4,J01C4 - PENICILINAS DE ESPECTRO AMPLIADO A GRAM-NE,"J01C - ANTIBACTERIANOS BETALACTÁMICOS, PENICILINAS",J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
25C04,25C04 - BOLSAS UROST SIST DOBLE PLAC              ,25C0 - BOLSAS UROSTOMIA ADH                       ,25C - BOLSAS UROSTOMÍA                            ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
J06BA02,J06BA - Inmunoglobulinas humanas normales         ,J06B - INMUNOGLOBULINAS                           ,J06 - SUEROS INMUNES E INMUNOGLOBULINAS           ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
B05BA92,B05BA - Soluciones para nutrición parenteral      ,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
C08CA01,C08CA - Derivados de la  dihidropiridina          ,C08C - BLOQUEANTES SELECTIVOS DE CANALES DE CALCIO,C08 - BLOQUEANTES DE CANALES DE CALCIO            ,C - SISTEMA CARDIOVASCULAR                        
B05BB01,B05BB - Soluciones que afectan el balance electrol,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
B05BA03,B05BA - Soluciones para nutrición parenteral      ,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
D01AC10,D01AC - Derivados imidazólicos y triazólicos      ,D01A - ANTIFÚNGICOS PARA USO TÓPICO               ,D01 - ANTIFÚNGICOS PARA USO DERMATOLÓGICO         ,D - DERMATOLOGICOS                                
V07AB91,"V07AB - Agentes solventes y diluyentes, incluyendo",V07A - TODO EL RESTO DE LOS PRODUCTOS NO TERAPÉUTI,V07 - TODO EL RESTO DE LOS PRODUCTOS NO TERAPÉUTIC,V - VARIOS                                        
A10AC01,A10AC - Insulinas y análogos de acción intermedia ,A10A - INSULINAS Y ANÁLOGOS                       ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
J05AB09,"J05AB - Nucleósidos y nucleótidos, excluyendo inhi",J05A - ANTIVIRALES DE ACCIÓN DIRECTA              ,J05 - ANTIVIRALES DE USO SISTÉMICO                ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
A02BC01,A02BC - Inhibidores de la bomba de protones       ,A02B - AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLU,A02 - AGENTES PARA EL TRATAMIENTO DE ALTERACIONES ,A - TRACTO ALIMENTARIO Y METABOLISMO              
D09AA61,D09AA - Apósitos con pomada con antiinfecciosos   ,D09A - APÓSITOS CON MEDICAMENTOS                  ,D09 - APÓSITOS CON MEDICAMENTOS                   ,D - DERMATOLOGICOS                                
12A00,12A00 - RODILLERA                                 ,12A0 - RODILLERA                                  ,12A - RODILLERA                                   ,1 - ELÁSTICO EXCEPTO MEDIAS                       
L03AB05,L03AB - Interferones                              ,L03A - CITOKINAS E INMUNOMODULADORES              ,L03 - INMUNOESTIMULANTES                          ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
J05AF01,J05AF - Nucleósidos y nucleótidos inhibidores de l,J05A - ANTIVIRALES DE ACCIÓN DIRECTA              ,J05 - ANTIVIRALES DE USO SISTÉMICO                ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
M01AE01,M01AE - Derivados del ácido propiónico            ,M01A - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTIC,M01 - PRODUCTOS ANTIINFLAMATORIOS  Y ANTIRREUMÁTIC,M - SISTEMA MUSCULOESQUELÉTICO                    
N01BB10,N01BB - Amidas                                    ,N01B - ANESTÉSICOS LOCALES                        ,N01 - ANESTÉSICOS                                 ,N - SISTEMA NERVIOSO                              
C10AD92,C10AD - Ácido nicotínico y derivados              ,"C10A - AGENTES MODIFICADORES DE LOS LÍPIDOS,MONOFA",C10 - AGENTES MODIFICADORES DE LOS LÍPIDOS        ,C - SISTEMA CARDIOVASCULAR                        
J01FF01,J01FF - Lincosamidas                              ,"J01F - MACRÓLIDOS, LINCOSAMIDAS Y ESTREPTOGRAMINAS",J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
N02BA01,N02BA - Ácido salicílico y derivados              ,N02B - OTROS ANALGÉSICOS Y ANTIPIRÉTICOS          ,N02 - ANALGÉSICOS                                 ,N - SISTEMA NERVIOSO                              
C09AA01,"C09AA - Inhibidores de la ECA, monofármacos       ","C09A - INHIBIDORES DE LA ECA, MONOFÁRMACOS        ",C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-A,C - SISTEMA CARDIOVASCULAR                        
C09AA02,"C09AA - Inhibidores de la ECA, monofármacos       ","C09A - INHIBIDORES DE LA ECA, MONOFÁRMACOS        ",C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-A,C - SISTEMA CARDIOVASCULAR                        
J01DB01,J01DB - Cefalosporinas de primera generación      ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
J01MA02,J01MA - Fluoroquinolonas                          ,J01M - QUINOLONAS ANTIBACTERIANAS                 ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
B01AB05,B01AB - Grupo de la heparina                      ,B01A - AGENTES ANTITROMBÓTICOS                    ,B01 - AGENTES ANTITROMBÓTICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
N02CC06,N02CC - Agonistas selectivos de serotonina (5-HT1),N02C - PREPARADOS ANTIMIGRAÑOSOS                  ,N02 - ANALGÉSICOS                                 ,N - SISTEMA NERVIOSO                              
R03AC15,R03AC - Agonistas selectivos de receptores beta-2 ,"R03A - ADRENÉRGICOS, INHALATORIOS                 ",R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE,R - SISTEMA RESPIRATORIO                          
B05BC01,B05BC - Soluciones que producen diuresis osmótica ,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
04A00,04A00 - ESPARADRAPO                               ,04A0 - ESPARADRAPO                                ,04A - ESPARADRAPO                                 ,0 - MATERIAL DE CURA Y SONDAS                     
24A03,24A03 - MEDIA CORTA (A-D) COMP FUERTE             ,24A0 - MEDIA CORTA                                ,24A - MEDIA CORTA                                 ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
C10AA03,C10AA - Inhibidores de la HMG CoA reductasa       ,"C10A - AGENTES MODIFICADORES DE LOS LÍPIDOS,MONOFA",C10 - AGENTES MODIFICADORES DE LOS LÍPIDOS        ,C - SISTEMA CARDIOVASCULAR                        
R01AA07,"R01AA - Simpaticomiméticos, monofármacos          ",R01A - DESCONGESTIVOS Y OTROS PREPARADOS NASALES P,R01 - PREPARADOS DE USO NASAL                     ,R - SISTEMA RESPIRATORIO                          
N06BX06,N06BX - Otros psicoestimulantes y nootrópicos     ,"N06B - PSICOESTIMULANTES, AGENTES UTILIZADOS PARA ",N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
N06AB06,N06AB - Inhibidores selectivos de la recaptación d,N06A - ANTIDEPRESIVOS                             ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
R05C1,R05C1 - EXPECTORANTES INC. MUCOLITICOS CON ANTIINF,"R05C - EXPECTORANTES, EXCLUYENDO COMBINACIONES CON",R05 - PREPARADOS PARA LA TOS Y EL RESFRIADO       ,R - SISTEMA RESPIRATORIO                          
R05C2,R05C2 - EXPECTORANTES INCL. MUCOLITICOS SIN ANTIIN,"R05C - EXPECTORANTES, EXCLUYENDO COMBINACIONES CON",R05 - PREPARADOS PARA LA TOS Y EL RESFRIADO       ,R - SISTEMA RESPIRATORIO                          
R06AX13,R06AX - Otros antihistamínicos para uso sistémico ,R06A - ANTIHISTAMÍNICOS PARA USO SISTÉMICO        ,R06 - ANTIHISTAMÍNICOS PARA USO SISTÉMICO         ,R - SISTEMA RESPIRATORIO                          
A07BA01,A07BA - Preparados con carbón                     ,A07B - ADSORBENTES INTESTINALES                   ,"A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/AN",A - TRACTO ALIMENTARIO Y METABOLISMO              
03A05,03A05 - VENDA DE GASA MALLA                       ,03A0 - VENDA DE GASA                              ,03A - VENDA DE GASA                               ,0 - MATERIAL DE CURA Y SONDAS                     
J07AJ52,J07AJ - Vacunas antipertussis                     ,J07A - VACUNAS ANTIBACTERIANAS                    ,J07 - VACUNAS                                     ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
M01AB05,M01AB - Derivados del ácido acético y sustancias r,M01A - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTIC,M01 - PRODUCTOS ANTIINFLAMATORIOS  Y ANTIRREUMÁTIC,M - SISTEMA MUSCULOESQUELÉTICO                    
L02AB01,L02AB - Progestágenos                             ,L02A - HORMONAS Y AGENTES RELACIONADOS            ,L02 - TERAPIA ENDOCRINA                           ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
R03DA04,R03DA - Xantinas                                  ,R03D - OTROS AGENTES CONTRA PADECIMIENTOS OBSTRUCT,R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE,R - SISTEMA RESPIRATORIO                          
N05CB02,"N05CB - Barbitúricos, combinaciones               ",N05C - HIPNÓTICOS Y SEDANTES                      ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
B05CX01,B05CX - Otras soluciones para irrigación          ,B05C - SOLUCIONES DE IRRIGACIÓN                   ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
B05BB91,B05BB - Soluciones que afectan el balance electrol,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
M01AC04,M01AC - Oxicams                                   ,M01A - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTIC,M01 - PRODUCTOS ANTIINFLAMATORIOS  Y ANTIRREUMÁTIC,M - SISTEMA MUSCULOESQUELÉTICO                    
24F03,24F03 - MEDIAS E.T. CINT COMP FUERTE              ,24F0 - MEDIAS E.T. CINT                           ,24F - MEDIAS E.T. CINT                            ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
J04AM02,J04AM - Combinaciones de  fármacos para el tratami,J04A - FÁRMACOS PARA EL TRATAMIENTO DE LA TUBERCUL,J04 - ANTIMICOBACTERIAS                           ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
24C03,24C03 - MEDIA LARGA (A-G) COMP FUERTE             ,24C0 - MEDIA LARGA (A-G)                          ,24C - MEDIA LARGA (A-G)                           ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
M05BA03,M05BA - Bifosfonatos                              ,M05B - AGENTES QUE AFECTAN LA ESTRUCTURA ÓSEA Y LA,M05 - FÁRMACOS PARA EL TRATAMIENTO DE ENFERMEDADES,M - SISTEMA MUSCULOESQUELÉTICO                    
