CIE10,literal_CIE10,BDCAP,literal_BDCAP,Cambio mapeo julio 18
A00,Cólera,D70,Infección gastrointestinal,
A00.0,"Cólera debido a Vibrio cholerae O1, biotipo cholerae ",D70,Infección gastrointestinal,
A00.1,"Cólera debido a Vibrio cholerae O1, biotipo El Tor",D70,Infección gastrointestinal,
A00.9,"Cólera, no especificado",D70,Infección gastrointestinal,
A01,Fiebres tifoidea y paratifoidea,D70,Infección gastrointestinal,
A01.0,Fiebre tifoidea,D70,Infección gastrointestinal,
A01.1,Fiebre paratifoidea A,D70,Infección gastrointestinal,
A01.2,Fiebre paratifoidea B,D70,Infección gastrointestinal,
A01.3,Fiebre paratifoidea C,D70,Infección gastrointestinal,
A01.4,"Fiebre paratifoidea, no especificada",D70,Infección gastrointestinal,
A02,Otras infecciones debidas a Salmonella,D70,Infección gastrointestinal,
A02.0,Enteritis debida a Salmonella,D70,Infección gastrointestinal,
A02.1,Septicemia debida a Salmonella,D70,Infección gastrointestinal,
A02.2,Infecciones localizadas debidas a Salmonella,D70,Infección gastrointestinal,
A02.8,Otras infecciones especificadas como debidas a Salmonella,D70,Infección gastrointestinal,
A02.9,"Infección debida a Salmonella, no especificada",D70,Infección gastrointestinal,
A03,Shigelosis,D70,Infección gastrointestinal,
A03.0,Shigelosis debida a Shigella dysenteriae,D70,Infección gastrointestinal,
A03.1,Shigelosis debida a Shigella flexneri,D70,Infección gastrointestinal,
A03.2,Shigelosis debida a Shigella boydii,D70,Infección gastrointestinal,
A03.3,Shigelosis debida a Shigella sonnei,D70,Infección gastrointestinal,
A03.8,Otras shigelosis,D70,Infección gastrointestinal,
A03.9,Shigelosis de tipo no especificado,D70,Infección gastrointestinal,
A04,Otras infecciones intestinales bacterianas,D70,Infección gastrointestinal,
A04.0,Infección debida a Escherichia coli enteropatógena,D70,Infección gastrointestinal,
A04.1,Infección debida a Escherichia coli enterotoxígena,D70,Infección gastrointestinal,
A04.2,Infección debida a Escherichia coli enteroinvasiva,D70,Infección gastrointestinal,
A04.3,Infección debida a Escherichia coli enterohemorrágica,D70,Infección gastrointestinal,
A04.4,Otras infecciones intestinales debidas a Escherichia coli,D70,Infección gastrointestinal,
A04.5,Enteritis debida a Campylobacter,D70,Infección gastrointestinal,
