CIE9,literal_CIE9,BDCAP,literal_BDCAP,https://www.sanidad.gob.es/estadEstudios/estadisticas/estadisticas/estMinisterio/SIAP/map_cie9mc_cie10_ciap2.htm
001,COLERA,D70,Infección gastrointestinal,
001.0,COLERA DEBIDA A VIBRIO CHOLERAE,D70,Infección gastrointestinal,
001.1,COLERA DEBIDA A VIBRIO CHOLERAE EL TOR,D70,Infección gastrointestinal,
001.9,"COLERA, SIN ESPECIFICAR",D70,Infección gastrointestinal,
002,FIEBRES TIFOIDEAS Y PARATIFOIDEAS,D70,Infección gastrointestinal,
002.0,FIEBRE TIFOIDEA,D70,Infección gastrointestinal,
002.1,FIEBRE PARATIFOIDEA A,D70,Infección gastrointestinal,
002.2,FIEBRE PARATIFOIDEA B,D70,Infección gastrointestinal,
002.3,FIEBRE PARATIFOIDEA C,D70,Infección gastrointestinal,
002.9,FIEBRE PARATIFOIDEA SIN ESPECIFICAR,D70,Infección gastrointestinal,
003,OTRAS INFECCIONES DE SALMONELLA,D70,Infección gastrointestinal,
003.0,GASTROENTERITIS POR SALMONELLA,D70,Infección gastrointestinal,
003.1,SEPTICEMIA POR SALMONELLA,D70,Infección gastrointestinal,
003.2,INFECCIONES POR SALMONELLA LOCALIZADAS,D70,Infección gastrointestinal,
003.20,"INFECCION POR SALMONELLA LOCALIZADA, SIN ESPECIFICAR",D70,Infección gastrointestinal,
003.21,MENINGITIS POR SALMONELLA,N71,Meningitis/encefalitis,
003.22,NEUMONIA POR SALMONELLA,R81.01,Neumonía bacteriana,
003.23,ARTRITIS POR SALMONELLA,L70,Infecciones del aparato locomotor,
003.24,OSTEOMIELITIS POR SALMONELLA,L70,Infecciones del aparato locomotor,
003.29,OTRAS INFECCIONES POR SALMONELLA LOCALIZADAS,D70,Infección gastrointestinal,
003.8,OTRAS INFECCIONES POR SALMONELLA ESPECIFICADAS,D70,Infección gastrointestinal,
003.9,"INFECCIONES POR SALMONELLA, SIN ESPECIFICAR",D70,Infección gastrointestinal,
